author_id;orgName;persName;forename;surname;addname
viaf:209292486;;;Jean;Du Teil;
viaf:24917929;;;Antoine;Le Febvre;
viaf:256498216;;;Paul;Boyer du Petit-Puy;
viaf:27219264;;;;Dangerville;
viaf:293153409726341580109;;;René Joseph d';Aubeterre;L. S. D. N. L. S. C. E. T.
viaf:309699779;;;Charles de;Fiesque;
viaf:309700747;;Sieur de Carigny ;;;D. P. P.
viaf:311271135;;;;;E. de La Pante
viaf:3346153653285955900004;Parlement de Pontoise;;;;
viaf:336148389281410710543;;;Robert Henriet de La Vallée;Sommerance;
viaf:34495750;;;Gilbert;de Choiseul du Plessis-Praslain;
viaf:381159474047427660548;;De La Campie;;;
viaf:386159474048027660057;;;;;Peuche, sieur de la Pêche
viaf:450159474199127662113;;Lanauze;;;
viaf:619160483810604991686;;;Claude;Veyras;
viaf:72157882925160442041;;;Jean;Burnel;
viaf:79233136;;;Pierre;Du Pelletier;
viaf:89162060270051400604;;;Jacques Robert de;Lignerac, seigneur de Marze;
viaf:89186376;;;Jacques;Labbé;
viaf:89748824;;Innocent X;;;
viaf:98152636171720052976;;;Jacques;Du Coudray Géniers;
